Sample_ID,SITE_CODE,Collection_Date,Visit,Filter_volume_mL,Purified,Filter_type,SITE_VISIT,SampleDate,Area,Day,Salinity,Turbidity
BASSGCP_20180527_01,BASSGCP,5/27/18,1,250,0,Normal,BASSGCP_V01,5/30/18,3118,16,145,3.980000019
BASSGCP_20180527_02,BASSGCP,5/27/18,1,250,1,Normal,BASSGCP_V01,5/30/18,3118,16,145,3.980000019
BASSGCP_20180717_01,BASSGCP,7/17/18,2,200,0,Normal,BASSGCP_V02,7/17/18,2721,64,152,6.820000172
BASSGCP_20180717_02,BASSGCP,7/17/18,2,80,0,Normal,BASSGCP_V02,7/17/18,2721,64,152,6.820000172
CA-EDWD_20180527_01,CA-EDWD,5/27/18,1,100,0,Normal,CA-EDWD_V01,6/14/18,848,31,264,6.519999981
CA-EDWD_20180527_02,CA-EDWD,5/27/18,1,250,0,Normal,CA-EDWD_V01,6/14/18,848,31,264,6.519999981
CA-MANZA_20180527_01,CA-MANZA,5/27/18,1,100,0,Normal,CA-MANZA_V01,5/23/18,2035,9,52.09999847,12.5
CA-MANZA_20180527_02,CA-MANZA,5/27/18,1,115,0,Normal,CA-MANZA_V01,5/23/18,2035,9,52.09999847,12.5
CA-MANZA_20180715_01,CA-MANZA,7/15/18,2,70,1,Normal,CA-MANZA_V02,6/30/18,1081,47,62.40000153,23
CA-MANZA_20180715_02,CA-MANZA,7/15/18,2,70,1,Normal,CA-MANZA_V02,6/30/18,1081,47,62.40000153,23
CA-PIG_20180527_01,CA-PIG,5/27/18,1,200,0,Coarse,CA-PIG_V01,5/30/18,2747,16,73.09999847,4.059999943
CA-PIG_20180527_02,CA-PIG,5/27/18,1,200,0,Coarse,CA-PIG_V01,5/30/18,2747,16,73.09999847,4.059999943
CA-PIG_20180717_01,CA-PIG,7/17/18,2,150,0,Normal,CA-PIG_V02,7/17/18,1219,64,134,1126
CA-PIG_20180717_02,CA-PIG,7/17/18,2,125,0,Normal,CA-PIG_V02,7/17/18,1219,64,134,1126
CABINBOR_20180530_01,CABINBOR,5/30/18,1,300,0,Normal,CABINBOR_V01,5/30/18,1493,16,52.59999847,2.410000086
CABINBOR_20180530_02,CABINBOR,5/30/18,1,300,0,Normal,CABINBOR_V01,5/30/18,1493,16,52.59999847,2.410000086
CABINBOR_20180714_01,CABINBOR,7/14/18,2,250,0,Normal,CABINBOR_V02,7/12/18,1328,59,61.09999847,1.549999952
CABINBOR_20180714_02,CABINBOR,7/14/18,2,250,0,Normal,CABINBOR_V02,7/12/18,1328,59,61.09999847,1.549999952
EAGLEGCP_20180527_01,EAGLEGCP,5/27/18,1,250,0,Normal,EAGLEGCP_V01,5/30/18,6382,16,136,6.579999924
EAGLEGCP_20180527_02,EAGLEGCP,5/27/18,1,250,0,Normal,EAGLEGCP_V01,5/30/18,6382,16,136,6.579999924
EAGLEGCP_20180717_01,EAGLEGCP,7/17/18,2,175,0,Normal,EAGLEGCP_V02,7/17/18,5014,64,169,14.5
EAGLEGCP_20180717_02,EAGLEGCP,7/17/18,2,150,0,Normal,EAGLEGCP_V02,7/17/18,5014,64,169,14.5
GLORGCP_20180527_01,GLORGCP,5/27/18,1,100,0,Coarse,GLORGCP_V01,5/23/18,456,9,68.30000305,16.20000076
GLORGCP_20180527_02,GLORGCP,5/27/18,1,250,0,Coarse,GLORGCP_V01,5/23/18,456,9,68.30000305,16.20000076
GLORGCP_20180715_01,GLORGCP,7/15/18,2,150,0,Normal,GLORGCP_V02,6/30/18,418,47,78.40000153,16.5
GLORGCP_20180715_02,GLORGCP,7/15/18,2,150,0,Normal,GLORGCP_V02,6/30/18,418,47,78.40000153,16.5
GRAMPBOR_20180601_01,GRAMPBOR,6/1/18,1,150,0,Normal,GRAMPBOR_V01,6/13/18,418,30,101,19.39999962
GRAMPBOR_20180601_02,GRAMPBOR,6/1/18,1,200,0,Normal,GRAMPBOR_V01,6/13/18,418,30,101,19.39999962
GRAMPBOR_20180714_01,GRAMPBOR,7/14/18,2,250,0,Normal,GRAMPBOR_V02,7/12/18,285,59,125,36.59999847
GRAMPBOR_20180714_02,GRAMPBOR,7/14/18,2,250,0,Normal,GRAMPBOR_V02,7/12/18,285,59,125,36.59999847
HERONGCP_20180527_01,HERONGCP,5/27/18,1,100,0,Normal,HERONGCP_V01,6/14/18,710,31,133,6.230000019
HERONGCP_20180527_02,HERONGCP,5/27/18,1,160,0,Normal,HERONGCP_V01,6/14/18,710,31,133,6.230000019
HERONGCP_20180717_01,HERONGCP,7/17/18,2,100,0,Normal,HERONGCP_V02,7/17/18,564,64,228,87.90000153
HERONGCP_20180717_02,HERONGCP,7/17/18,2,100,0,Normal,HERONGCP_V02,7/17/18,564,64,228,87.90000153
KAMM_20180527_01,KAMM,5/27/18,1,150,0,Coarse,KAMM_V01,5/15/18,1146,1,91.30000305,27.70000076
KAMM_20180527_02,KAMM,5/27/18,1,150,0,Coarse,KAMM_V01,5/15/18,1146,1,91.30000305,27.70000076
KAMM_20180714_01,KAMM,7/14/18,2,200,0,Normal,KAMM_V02,6/20/18,968,37,109,79.90000153
KAMM_20180714_02,KAMM,7/14/18,2,150,0,Normal,KAMM_V02,6/20/18,968,37,109,79.90000153
NORTHGCP_20180527_01,NORTHGCP,5/27/18,1,175,0,Normal,NORTHGCP_V01,5/23/18,403,9,62,27.10000038
NORTHGCP_20180527_02,NORTHGCP,5/27/18,1,175,0,Normal,NORTHGCP_V01,5/23/18,403,9,62,27.10000038
NORTHGCP_20180715_01,NORTHGCP,7/15/18,2,75,0,Normal,NORTHGCP_V02,6/30/18,342,47,67.59999847,28.29999924
NORTHGCP_20180715_02,NORTHGCP,7/15/18,2,200,0,Coarse,NORTHGCP_V02,6/30/18,342,47,67.59999847,28.29999924
NTALKGCP_20180527_01,NTALKGCP,5/27/18,1,70,0,Coarse,NTALKGCP_V01,5/30/18,369,16,282,1091
NTALKGCP_20180527_02,NTALKGCP,5/27/18,1,50,0,Coarse,NTALKGCP_V01,5/30/18,369,16,282,1091
NTALKGCP_20180715_01,NTALKGCP,7/15/18,2,25,0,Normal,NTALKGCP_V02,6/30/18,182,47,547,33.29999924
PPKBOR_20180601_01,PPKBOR,6/1/18,1,180,0,Normal,PPKBOR_V01,5/14/18,129,0,49,13.80000019
PPKBOR_20180601_02,PPKBOR,6/1/18,1,160,0,Normal,PPKBOR_V01,5/14/18,129,0,49,13.80000019
PPKBOR_20180714_01,PPKBOR,7/14/18,2,50,0,Normal,PPKBOR_V02,6/20/18,116,37,55.09999847,31.39999962
PPKBOR_20180714_02,PPKBOR,7/14/18,2,150,0,Coarse,PPKBOR_V02,6/20/18,116,37,55.09999847,31.39999962
PPKBOR_20180714_03,PPKBOR,7/14/18,2,50,0,Normal,PPKBOR_V02,6/20/18,116,37,55.09999847,31.39999962
RLSNKGCP_20180527_01,RLSNKGCP,5/27/18,1,50,1,Normal,RLSNKGCP_V01,5/23/18,101.0999985,9,226,136
RLSNKGCP_20180527_02,RLSNKGCP,5/27/18,1,180,0,Coarse,RLSNKGCP_V01,5/23/18,101.0999985,9,226,136
RLSNKGCP_20180715_01,RLSNKGCP,7/15/18,2,50,1,Normal,RLSNKGCP_V02,6/30/18,473,47,298,19.60000038
RLSNKGCP_20180715_02,RLSNKGCP,7/15/18,2,150,1,Coarse,RLSNKGCP_V02,6/30/18,473,47,298,19.60000038
RONJRGCP_20180527_01,RONJRGCP,5/27/18,1,250,0,Normal,RONJRGCP_V01,5/15/18,7306,1,183,8.880000114
RONJRGCP_20180527_02,RONJRGCP,5/27/18,1,250,0,Normal,RONJRGCP_V01,5/15/18,7306,1,183,8.880000114
RONJRGCP_20180716_01,RONJRGCP,7/16/18,2,30,1,Coarse,RONJRGCP_V02,6/20/18,4108,37,252,15
RONJRGCP_20180716_02,RONJRGCP,7/16/18,2,40,1,Coarse,RONJRGCP_V02,6/20/18,4108,37,252,15
SHPTLGCP_20180527_01,SHPTLGCP,5/27/18,1,50,0,Coarse,SHPTLGCP_V01,5/30/18,356,16,101,53.09999847
SHPTLGCP_20180527_02,SHPTLGCP,5/27/18,1,50,0,Coarse,SHPTLGCP_V01,5/30/18,356,16,101,53.09999847
SHPTLGCP_20180527_03,SHPTLGCP,5/27/18,1,30,0,Coarse,SHPTLGCP_V01,5/30/18,356,16,101,53.09999847
SHPTLGCP_20180715_01,SHPTLGCP,7/15/18,2,75,0,Normal,SHPTLGCP_V02,6/30/18,248,47,165,97.40000153
SHPTLGCP_20180715_02,SHPTLGCP,7/15/18,2,160,0,Coarse,SHPTLGCP_V02,6/30/18,248,47,165,97.40000153
UCTBOR_20180601_01,UCTBOR,6/1/18,1,150,0,Normal,UCTBOR_V01,6/20/18,592,37,41.20000076,3.519999981
UCTBOR_20180601_02,UCTBOR,6/1/18,1,150,0,Normal,UCTBOR_V01,6/20/18,592,37,41.20000076,3.519999981
UCTBOR_20180714_01,UCTBOR,7/14/18,2,200,0,Normal,UCTBOR_V02,7/12/18,546,59,43.79999924,6.269999981
UCTBOR_20180714_02,UCTBOR,7/14/18,2,200,0,Normal,UCTBOR_V02,7/12/18,546,59,43.79999924,6.269999981
WASHGCP_20180525_01,WASHGCP,5/25/18,1,80,0,Normal,WASHGCP_V01,5/15/18,176,1,56.59999847,76.30000305
WASHGCP_20180525_02,WASHGCP,5/25/18,1,80,1,Normal,WASHGCP_V01,5/15/18,176,1,56.59999847,76.30000305
WASHGCP_20180714_01,WASHGCP,7/14/18,2,60,1,Normal,WASHGCP_V02,6/20/18,29,37,95.80000305,810
WASHGCP_20180714_02,WASHGCP,7/14/18,2,200,1,Coarse,WASHGCP_V02,6/20/18,29,37,95.80000305,810
WDMLGCP_20180527_01,WDMLGCP,5/27/18,1,100,1,Normal,WDMLGCP_V01,5/15/18,134,1,65.80000305,92.69999695
WDMLGCP_20180527_02,WDMLGCP,5/27/18,1,125,0,Coarse,WDMLGCP_V01,5/15/18,134,1,65.80000305,92.69999695
WDMLGCP_20180714_01,WDMLGCP,7/14/18,2,30,0,Normal,WDMLGCP_V02,6/20/18,65.5,37,118,346
WDMLGCP_20180714_02,WDMLGCP,7/14/18,2,200,1,Coarse,WDMLGCP_V02,6/20/18,65.5,37,118,346
YBBA_20180527_01,YBBA,5/27/18,1,250,0,Coarse,YBBA_V01,5/23/18,805,9,74.90000153,6.800000191
YBBA_20180527_02,YBBA,5/27/18,1,200,0,Normal,YBBA_V01,5/23/18,805,9,74.90000153,6.800000191
YBBA_20180715_01,YBBA,7/15/18,2,250,0,Normal,YBBA_V02,6/30/18,638,47,79.40000153,3.869999886
YBBA_20180715_02,YBBA,7/15/18,2,250,0,Normal,YBBA_V02,6/30/18,638,47,79.40000153,3.869999886